0,Model_0,Model_1,Average
GO:0102340,1.28940265911058e-18,0.0,6.4470132955529e-19
GO:0007229,0.000738582717030696,0.0,0.000369291358515348
GO:0007166,0.0,0.0,0.0
GO:0047975,0.0003347972100232484,0.0,0.0001673986050116242
GO:0016593,0.0,0.0,0.0
GO:0034968,0.0,0.0,0.0
GO:0006415,0.0,0.0,0.0
GO:0045921,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0
GO:0030643,0.0006204672150878962,0.00020540451559225039,0.00041293586534007327
GO:0032432,0.0,0.0,0.0
GO:0009325,0.0,0.0008911957113252791,0.00044559785566263953
GO:0015046,0.0,0.0,0.0
GO:0004803,0.00024263968272972665,0.0,0.00012131984136486333
GO:0033229,0.0,0.0,0.0
GO:0018850,0.0,0.0,0.0
GO:0001682,0.0,0.0,0.0
GO:0031116,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0
GO:0008481,0.0,0.0,0.0
GO:0033389,0.0002605374270424272,0.0,0.0001302687135212136
GO:0102121,0.00032957282291798764,0.0,0.00016478641145899382
GO:0005355,0.0,7.078683192488233e-05,3.5393415962441166e-05
GO:0004078,0.0,0.0,0.0
GO:0005749,0.0,0.0,0.0
GO:0034368,0.0,0.0,0.0
GO:0031303,0.0,0.0,0.0
GO:0071942,0.0,0.0,0.0
GO:0052596,0.0,0.0,0.0
GO:0106262,0.0,0.0,0.0
GO:0000290,0.0,0.0,0.0
GO:0009236,0.001916010939049325,0.0007333415872830769,0.001324676263166201
GO:0015934,0.0,1.1201062066246795e-05,5.600531033123398e-06
GO:0015846,0.0,0.00015419728686202495,7.709864343101248e-05
GO:0008796,0.0,0.0,0.0
GO:0043041,0.0,0.0,0.0
GO:0030136,0.0,0.0,0.0
GO:0000150,0.0,0.0,0.0
GO:0030133,0.0,0.0,0.0
GO:0061672,0.0,0.0,0.0
GO:1900051,0.0,0.0,0.0
GO:0103045,0.0,0.0006494856639926315,0.00032474283199631574
GO:0005102,0.0,0.0,0.0
GO:0005615,0.0,0.0,0.0
GO:0046210,0.0,0.0,0.0
GO:0061911,0.0,0.0,0.0
GO:0010867,0.0,0.0,0.0
GO:0003938,0.0,0.0,0.0
GO:1990838,0.0,0.0,0.0
GO:0015293,0.0006958196143937088,0.00036389785747483546,0.0005298587359342721
GO:0001927,0.0,0.0,0.0
GO:0044260,0.0009532456646059357,0.0,0.00047662283230296787
GO:0055105,0.0,0.0,0.0
GO:0110001,0.0,0.0004033491071447662,0.0002016745535723831
GO:0045159,0.0,0.0,0.0
GO:0015483,0.0,3.921781999534712e-05,1.960890999767356e-05
GO:0007091,0.0,0.0,0.0
GO:0050416,0.0,0.0,0.0
GO:0060003,0.0,0.0,0.0
GO:0033750,0.0,0.0,0.0
GO:0060304,0.0,0.0,0.0
GO:0001015,0.0,0.0,0.0
GO:0005983,0.0,0.0,0.0
GO:0097030,0.0,0.0,0.0
GO:0060548,0.0,0.0,0.0
GO:0001080,0.0,0.0,0.0
GO:0006887,0.0,0.0,0.0
GO:0072545,0.0,0.0,0.0
GO:0006979,0.0,0.0005394605644367223,0.00026973028221836113
GO:0050378,0.0006378146845828721,0.0009329807359111929,0.0007853977102470325
GO:0046889,0.0,0.0,0.0
GO:0006631,0.0,0.0,0.0
GO:0015453,0.0,0.0,0.0
GO:0040001,0.0,0.0,0.0
GO:0052934,0.0,0.0,0.0
GO:1902554,0.0,0.0,0.0
GO:0043529,0.0,0.0,0.0
GO:0034638,0.0,0.0,0.0
GO:1905184,0.0,0.0,0.0
GO:1990841,0.0,0.0,0.0
GO:0006842,0.0,0.0,0.0
GO:0008168,0.0,1.8458940945077387e-05,9.229470472538693e-06
GO:0019354,0.0,0.0,0.0
GO:0015925,0.0010146418360919426,6.072190059548931e-05,0.000537681868343716
GO:0070822,0.0,0.0,0.0
GO:0043933,0.0,0.0,0.0
GO:0110078,0.0,7.5080180711515e-05,3.75400903557575e-05
GO:0030621,0.0,0.0,0.0
GO:0052869,0.0,0.0,0.0
GO:0015936,0.0009119330840922344,0.0010841332438958518,0.0009980331639940431
GO:0042761,0.0,0.0,0.0
GO:0090613,0.0,0.0,0.0
GO:0005880,0.0,0.0,0.0
GO:0008800,0.0,0.0,0.0
GO:0003955,0.00046932531859440805,0.0,0.00023466265929720403
GO:0071459,0.0,0.0,0.0
GO:0052833,0.00037012517114465824,0.0,0.00018506258557232912
GO:0005375,0.0,0.0,0.0
GO:0010637,0.0,0.0,0.0
GO:0000166,0.0003230630350665682,0.0,0.0001615315175332841
GO:0050066,0.0,0.00022884188818469558,0.00011442094409234779
GO:0032065,0.0,0.0,0.0
GO:0006605,0.0,0.0,0.0
GO:0006553,0.0,0.0,0.0
GO:0045821,0.0,0.0,0.0
GO:2000711,0.0,0.0,0.0
GO:0031204,0.0,0.0,0.0
GO:0046113,0.0004222594806166688,0.0004930384820202423,0.00045764898131845554
GO:0032411,0.0,0.0,0.0
GO:0048472,0.0,0.00022682080675093748,0.00011341040337546874
GO:0043541,0.0,0.0,0.0
GO:0016259,0.0,0.0,0.0
GO:0000828,0.0,0.0,0.0
GO:0017069,0.0,0.0,0.0
GO:0010185,0.0,0.0,0.0
GO:0030865,0.0,0.0,0.0
GO:0019557,4.04827277680551e-19,0.0,2.024136388402755e-19
GO:0046050,0.0,0.0,0.0
GO:0005786,0.0,0.0,0.0
GO:0003964,0.0,0.00024839632134188535,0.00012419816067094268
GO:0006807,0.0,7.768242542381043e-05,3.8841212711905215e-05
GO:0008883,0.0012454386154021285,0.000424778268220772,0.0008351084418114503
GO:0048024,0.0,0.0,0.0
GO:0043580,0.0,0.0,0.0
GO:0016972,0.0,0.0,0.0
GO:0047115,0.0017168178342986961,0.0011708396351588972,0.0014438287347287968
GO:0008333,0.0,0.0,0.0
GO:0032780,0.0,0.0,0.0
GO:0140278,0.0,0.0,0.0
GO:0018188,0.0,0.0,0.0
GO:0009019,0.0,0.0,0.0
GO:0005771,0.0,0.0,0.0
GO:1990281,0.0,0.0,0.0
GO:0043829,0.0,0.0,0.0
GO:0000785,0.0,0.0,0.0
GO:0052865,9.573000485182002e-05,0.0005492165590484718,0.00032247328195014594
GO:0018394,0.0,0.0,0.0
GO:0042327,0.0,0.0,0.0
GO:0006113,0.0,0.0,0.0
GO:0102040,0.0,0.0,0.0
GO:0016702,9.137002688862429e-05,8.213210073966979e-05,8.675106381414704e-05
GO:0004034,0.0,0.0,0.0
GO:0001056,0.0,0.0,0.0
GO:0015918,0.0,0.0,0.0
GO:0019284,0.0,1.3644288805482902e-19,6.822144402741451e-20
GO:0000262,0.0,0.0,0.0
GO:0003723,7.91752295127897e-05,0.0,3.958761475639485e-05
GO:0009399,0.0,0.0002823506942602655,0.00014117534713013275
GO:0019062,0.0006745181758950838,9.364360987383807e-19,0.0003372590879475424
GO:0061952,0.0,0.0,0.0
GO:0061595,0.0,0.0,0.0
GO:0032414,0.0005415581898158504,0.0,0.0002707790949079252
GO:0006970,0.0,0.0,0.0
GO:1905037,0.0,0.0,0.0
GO:0047423,0.0,0.0,0.0
GO:0001401,0.0,0.0,0.0
GO:0000724,0.0,0.0,0.0
GO:0003777,0.0,0.0,0.0
GO:0016746,0.0010320755333196787,0.0012958148296149047,0.0011639451814672917
GO:1901684,0.0,0.0,0.0
GO:0006683,0.0003138524927368782,0.00012663718761825137,0.00022024484017756478
GO:0070179,0.0,0.0,0.0
GO:0030694,0.0,1.8847603661820248e-06,9.423801830910124e-07
GO:0071572,1.6868259490290672e-18,0.0,8.434129745145336e-19
GO:0106277,0.0,0.0,0.0
GO:0051539,0.0,9.021377553390295e-05,4.5106887766951475e-05
GO:0061644,0.0,0.0,0.0
GO:0045150,0.0006727684402030452,0.00019254374184896623,0.0004326560910260057
GO:0015665,0.0,0.0,0.0
GO:0008120,0.0,0.0,0.0
GO:0042601,0.0,0.0,0.0
GO:0018741,0.00013365239761269884,0.0,6.682619880634942e-05
GO:0009016,0.0,0.0008959198673963005,0.00044795993369815026
GO:0070274,0.0,0.0,0.0
GO:0050606,0.0,0.0,0.0
