,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",[53 85 34 76  9 47 25 83 42 19 21  2 28 35 62 12 48 75 23 24 36 64],0.3443,1.0,0.9529,0.4588
1,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 300}",[36  1 44 56 60 46 86 32 59  2 61 20 43 40 64 66 38 26  0 19 30  7],0.302,1.0,0.9176,0.5765
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 500}",[47 81 77 69 54 19  3 71  2 33 78  8  5 45  1 80 13 38  4  9 87 44],0.4872,1.0,0.9529,0.5529
3,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[18  4 34 21 19  1 40 54  0 50 38  8  9 22 61 23 58 67 57 83 39 20],0.186,1.0,0.8588,0.6118
4,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[22 34 14 10 42 52 26 46 43 20  2 37 13 79 55 23 39 71 77 75 29 78],0.3,1.0,0.9294,0.5529
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[ 0 36  2 61 75  6 44 24 73 31 83 30  9 43 58 74 17 65 52 26 19 28],0.2264,1.0,0.9882,0.6118
6,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 300}",[37  0  1 25  2 67 17 31 72 11  9 57 22  5 86  4 76 35 41 24 68  6],0.3752,1.0,0.9412,0.5412
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",[68  4 14 22 77 25 32 87 42 35 79  8 43 54 23 38 62  9 80 24 33 34],0.346,1.0,0.9765,0.6353
8,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[57 66 15 49 71 69 64 30 23 14 42 39 82 59 81 47 35 52  1 62  6 60],0.364,1.0,0.9412,0.5412
9,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 100}",[26 68 80  3 14 66 55 20  7 46 72 42 44  8 86 11 79 64 61 62 82 54],0.3074,1.0,0.9529,0.5647
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[82 23 77 58 41 13 33 76 18 65 48 72 64  0 11 19  4 59 21 62  7 27],0.218,1.0,0.8588,0.4529
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[ 2 69 67 72 83 32 10 75 78 59  6 73 64 48 61 24 31 37  3 26 13 84],0.2489,1.0,0.9412,0.6529
12,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[38 50  8 58 79 46 57 13  6 65 84 51 52 68 14 80 33 36 69 76 20 53],0.3233,1.0,1.0,0.5176
13,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 100}",[22 25 35 51 78 13 68  3 46 14 64 21 42 24 15 67 34  2 31 77 41 57],0.2699,1.0,0.7412,0.5059
14,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[27 85 10 19 52 56 20 81 22 48 14  3 40  1  6 84 18 51 44 72 29 69],0.2428,1.0,0.8471,0.4941
15,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",[11 85 78  8 43 50 79 58 28  0 33 61 73 72 29 56 21 40 57 81 63 38],0.3244,1.0,0.9647,0.5882
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[64  4 35 85 80 50 25  5 51 34 32  3 14 22 68 70 49  2 62 12 81 11],0.31,1.0,0.9,0.3706
17,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[40 32 16 77  1 30 78 87 56 84 60 79 10 53 31 76 34 62  0  8 19 14],0.238,1.0,0.9765,0.4882
18,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",[49 50 23 12 65 38  3  0  4 82 55 22  6 69 62 26 18 21 57 83 63 34],0.4373,1.0,0.8118,0.6
19,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 700}",[72 27 35 20  4 16 30 62 17 85 37  2 42 75 19 43  7 34 59  6 67 77],0.4535,1.0,0.9529,0.5765
